genre_id,genre_name
1,News
2,Sport
3,Crime
4,Mystery
5,Thriller
6,Drama
7,Comedy
8,Documentary
9,Talk-Show
10,Reality-TV
11,Adventure
12,History
13,War
14,Action
15,Horror
16,Game-Show
17,Romance
18,Family
19,Animation
20,Sci-Fi
21,Music
22,Short
23,Fantasy
24,Musical
25,Biography
26,Western
