program_id,genre_id
1,1
5,1
5,2
24,1
24,3
32,4
32,5
55,1
55,2
56,4
59,2
70,4
70,6
70,7
72,8
72,9
72,10
72,11
72,12
75,5
75,13
75,12
75,10
76,14
78,14
81,14
82,15
82,9
82,14
82,16
82,17
86,15
86,14
87,15
87,9
87,14
87,18
91,19
91,20
92,4
92,5
93,20
100,20
101,15
101,9
101,14
101,16
104,15
104,9
104,14
104,16
104,21
104,22
107,15
107,8
107,9
107,14
107,10
107,16
107,21
107,13
107,18
111,19
111,20
115,15
115,14
115,10
122,14
122,19
124,10
124,17
124,16
126,10
126,21
127,5
127,13
127,10
128,20
133,14
136,5
136,13
136,10
139,19
139,20
140,20
142,14
142,20
144,14
145,4
148,14
148,17
149,15
149,9
149,14
149,16
150,15
151,15
151,14
151,16
151,21
155,20
159,8
159,5
159,13
159,12
159,10
161,4
163,4
163,6
163,5
164,5
164,13
164,12
164,10
167,8
167,9
167,14
167,5
167,13
167,12
167,10
167,17
168,14
170,15
170,23
170,8
170,9
170,14
170,10
170,16
170,21
170,22
171,20
173,5
173,13
173,12
173,10
174,4
174,11
174,12
175,14
175,20
176,14
178,14
180,8
180,9
180,5
180,13
180,12
180,10
182,5
190,10
190,21
190,13
190,12
