program_id,program_type_id,title,description,parental_rating
1,4,ABC World News Now,"The hosts bring you overnight breaking news, weather, politics, and the stories and videos people will be talking about in the day ahead.",
2,4,CBS News Roundup,,
3,5,Local Programs,,
4,4,Top Story with Tom Llamas,,
5,4,Early Today,"A comprehensive, early morning look at the latest overnight news events from across the nation and around the world and includes regional and national weather forecasts, segments on business...",
6,5,Bugs That Rule the World,,
7,5,Breaking the Deadlock,,
8,5,Once Upon a Time in Space,,
9,5,Law & Order: Special Victims Unit,,
10,5,Inogen Portable Oxygen - No More Tanks!,,
11,5,Paid Program,Sponsored television programming.,G
12,4,En casa con Telemundo,"Una entretenida mezcla de las noticias del entretenimiento, exclusivas con estrellas de la música, el cine y la televisión, presentaciones en vivo, y el estilo de vida de los famosos.",
13,4,La mesa caliente,,
14,5,Como dice el dicho,,
15,5,Desiguales,,
16,5,Vecinos,,
17,4,Business Today,,
18,4,Talking Movies,,
19,4,BBC News,The latest news from the BBC.,
20,5,Bloomberg: The Opening Trade,,
21,5,The Pulse with Francine Lacqua,,
22,5,Dateline,"Questions arise when the glamourous life of a model comes to a violent end and she is found floating face down at the bottom of her Florida home's pool, her body beaten and her children...",TV-14
23,5,Squawk Box (Europe),,
24,5,Anderson Cooper 360°,"Anderson Cooper reports on breaking news from around the world, providing an in-depth look at headline news as well as the underreported events of the day, with medical commentary from Dr...",
25,5,CNN NewsNight with Abby Phillip,,
26,4,U.S. House of Representatives,The House will complete work on the 2027 defense programs and policy (NDAA) bill and consider the GOP budget resolution for reconciliaiton 3.0 and legislation to ban stock trading by members...,
27,5,Best Mattress Topper Ever!,,
28,5,Kelsey Grammer's Historic Battles for America,,
29,5,Hannity,,
30,5,Gutfeld!,,
31,5,Fox News @ Night,,
32,5,Forensic Files,"When police investigators experience difficulty solving crimes, they seek the assistance of scientists who are able to uncover clues through the close examination of evidence using the most...",TV-14
33,4,The 11th Hour with Ali Velshi,,
34,4,All in with Chris Hayes,,
35,4,The Briefing with Jen Psaki,,
36,4,Katie Pavlich,,
37,4,Cuomo,,
38,4,On Balance with Leland Vittert,,
39,2,College Football,,
40,2,ACC Huddle,,
41,2,Authentic ACC,,
42,2,College Baseball,,
43,2,2026 SBD World's Strongest Man,,
44,2,SportsCenter,,
45,2,The 2026 ESPYS,,
46,2,NFL Live,,
47,2,MLB Baseball,,
48,2,Pardon the Interruption,,
49,2,Donk Toss World Championship,,
50,2,BBA Bubbleball,,
51,2,Live Racing! International,,
52,2,The Basketball Tournament,"from Memorial Coliseum in Lexington, Ky.",
53,2,2026 FIFA World Cup,Norway at England from Miami Stadium,
54,1,Malibooty!,,
55,2,Golf Central,"Experts explore the latest news and reports surrounding the world of golf, including daily coverage from the biggest tournaments, live updates, highlights of top moments, in-depth analysis...",
56,5,Wheeler Dealers: World Tour,,
57,2,Team Highlights,"NFL Films provides a detailed look back at highlights of all 32 teams from the 2013 season, featuring wired up players and coaches during the biggest matchups, memorable plays and moments that...",
58,2,The Insiders,,
59,2,Quick Pitch,"Catch all the latest baseball news, scores and highlights plus your first look at upcoming matchups, all in one lightning-fast hour.",
60,2,The Association,"Cameras give an all-access look at the top teams in the NBA throughout the season as they compete for a spot in the playoffs, showing the players and coaches on and off the court to show the...",
61,5,NHL Tonight,"Updates from games taking place around the league as well as highlights, injury updates and postgame interviews with players and coaches; coverage includes discussion on the latest headlines...",
62,2,Bowhunter TV,,
63,2,Guns & Ammo TV,,
64,2,Handguns,,
65,2,Shooting USA,,
66,2,SEC Now,,
67,2,The Paul Finebaum Show,,
68,2,Courtside,,
69,5,Swamp Patrol,"In Arkansas, multiple units search for a suspect in thick woodland. A brave police dog jumps off a 60-foot bridge. A man hiding in swamp mud gets stuck. A car crashes into a lake with a child...",
70,5,Against the Odds,"A detailed examination of the paratroopers of Fighting Fox Company, who fought and died in World War II battles from Normandy to Hitler's Eagle's Nest, demonstrating both dogged determination...",TV-PG
71,5,Shadow Ops,,
