genre_id,genre_name
1,News
2,Sport
3,Talk-Show
4,Documentary
5,Crime
6,History
7,War
8,Action
9,Adventure
10,Drama
11,Horror
12,Thriller
13,Mystery
14,Comedy
15,Animation
16,Family
17,Romance
18,Sci-Fi
19,Game-Show
20,Reality-TV
21,Fantasy
22,Musical
23,Short
