channel_order,channel_name,program_order,program_title,start_time_raw,end_time_raw,is_new,is_live
1,FUSEHD,1,Bodied,11:00 AM,1:30 PM,False,False
1,FUSEHD,2,Malibooty!,1:30 PM,3:30 PM,False,False
2,BRAVO,1,Bad Moms,11:30 AM,1:30 PM,False,False
2,BRAVO,2,Next Gen NYC,1:30 PM,2:30 PM,False,False
3,ETV-E,1,Why Can't My Life Be a Rom-Com?,11:00 AM,1:00 PM,False,False
3,ETV-E,2,Royal Rendezvous,1:00 PM,3:00 PM,False,False
4,FX-E,1,Alien: Resurrection,11:00 AM,1:00 PM,False,False
4,FX-E,2,Man on Fire,1:00 PM,4:00 PM,False,False
5,FXM,1,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight,12:10 PM,2:50 PM,False,False
6,GACFAM,1,The Trouble with Christmas Mistletoe,11:00 AM,1:00 PM,False,False
6,GACFAM,2,A Royal Icing Christmas,1:00 PM,3:00 PM,False,False
7,LMN,1,A Husband to Die For: The Lisa Aguilar Story,11:01 AM,1:01 PM,False,False
7,LMN,2,Yoga Teacher Killer: The Kaitlin Armstrong Story,1:01 PM,3:02 PM,False,False
8,PARMT,1,Top Gun,10:30 AM,1:00 PM,False,False
8,PARMT,2,F9,1:00 PM,4:00 PM,False,False
9,SyFy,1,Cocaine Bear,12:00 PM,2:00 PM,False,False
9,SyFy,2,NCIS: Los Angeles,2:00 PM,3:00 PM,False,False
10,TCM,1,A Soldier's Story,11:00 AM,1:00 PM,False,False
10,TCM,2,Fiddler on the Roof,1:00 PM,4:15 PM,False,False
11,TNT,1,Aquaman,10:00 AM,1:00 PM,False,False
11,TNT,2,Cold Case,1:00 PM,2:00 PM,False,False
11,TNT,3,Cold Case,2:00 PM,3:00 PM,False,False
12,HBO2,1,How to Make a Killing,10:48 AM,12:34 PM,False,False
12,HBO2,2,Deadpool 2,12:34 PM,2:34 PM,False,False
13,HBOCOM,1,MacGruber,11:48 AM,1:20 PM,False,False
13,HBOCOM,2,Mickey 17,1:20 PM,3:37 PM,False,False
14,HBOZON,1,Eddington,11:45 AM,2:13 PM,False,False
14,HBOZON,2,,,,False,False
14,HBOZON,3,The Long Walk,2:14 PM,4:03 PM,False,False
15,5STMAX,1,Godzilla vs. Gigan,12:11 PM,1:41 PM,False,False
15,5STMAX,2,Son of Godzilla,1:41 PM,3:07 PM,False,False
16,ACTMAX,1,Red Sparrow,10:16 AM,12:37 PM,False,False
16,ACTMAX,2,Heretic,12:37 PM,2:29 PM,False,False
16,ACTMAX,3,,,,False,False
17,CINEMAX,1,The Final Destination,11:25 AM,12:47 PM,False,False
17,CINEMAX,2,Happy Death Day,12:47 PM,2:24 PM,False,False
17,CINEMAX,3,Final Destination 5,2:24 PM,3:57 PM,False,False
18,MOMAX,1,Shot Caller,12:16 PM,2:17 PM,False,False
18,MOMAX,2,Y2K,2:17 PM,3:49 PM,False,False
19,ParSHO,1,Faster,12:05 PM,1:50 PM,False,False
19,ParSHO,2,Scream 4,1:50 PM,3:45 PM,False,False
20,SHOBET,1,Soul Men,11:35 AM,1:15 PM,False,False
20,SHOBET,2,Undisputed,1:15 PM,2:50 PM,False,False
21,SHOWEX,1,Erotic Alien Encounter,12:10 PM,1:20 PM,False,False
21,SHOWEX,2,The Comeback Trail,1:20 PM,3:10 PM,False,False
22,SHOWFAM,1,Star Trek: Insurrection,12:00 PM,1:45 PM,False,False
22,SHOWFAM,2,Orange County,1:45 PM,3:10 PM,False,False
23,SHOWNEXT,1,Everybody Wants Some!!,11:35 AM,1:35 PM,False,False
23,SHOWNEXT,2,Good Burger,1:35 PM,3:15 PM,False,False
24,SHOCSE,1,Virtuosity,12:00 PM,1:50 PM,False,False
24,SHOCSE,2,"South Park: Bigger, Longer & Uncut",1:50 PM,3:15 PM,False,False
25,SHOWWOM,1,Would You Rather,12:05 PM,1:40 PM,False,False
25,SHOWWOM,2,All the World is Sleeping,1:40 PM,3:35 PM,False,False
26,FLIX-E,1,Scream 3,12:30 PM,2:30 PM,False,False
27,TMCEAL,1,Sin City: A Dame to Kill For,11:15 AM,1:00 PM,False,False
27,TMCEAL,2,Raiders of the Lost Ark,1:00 PM,3:00 PM,False,False
28,TMC2XE,1,The Dictator,12:00 PM,1:25 PM,False,False
28,TMC2XE,2,Black Lotus,1:25 PM,3:00 PM,False,False
29,STARZ,1,Bait,11:31 AM,1:34 PM,False,False
29,STARZ,2,The Man in the White Van,1:34 PM,3:22 PM,False,False
30,STARZCIN,1,Escape From Pretoria,12:20 PM,2:07 PM,False,False
30,STARZCIN,2,Rememory,2:07 PM,4:00 PM,False,False
31,STARZCOM,1,High School,12:14 PM,1:55 PM,False,False
31,STARZCOM,2,Hi-Life,1:55 PM,3:22 PM,False,False
32,STARZED,1,Mercenaries,11:54 AM,1:32 PM,False,False
32,STARZED,2,Crave,1:32 PM,3:26 PM,False,False
33,STARZBLK,1,How She Move,11:51 AM,1:23 PM,False,False
33,STARZBLK,2,Dreams,1:23 PM,3:44 PM,False,False
34,STARZFAM,1,The Magic of the Golden Bear: Goldy III,11:47 AM,1:33 PM,False,False
34,STARZFAM,2,My Dog the Champion,1:33 PM,3:01 PM,False,False
35,ENCORE,1,The Strangers: Chapter 2,11:49 AM,1:31 PM,False,False
35,ENCORE,2,The Strangers: Chapter 3,1:31 PM,3:06 PM,False,False
36,ENCORFM,1,Girl in Progress,12:02 PM,1:36 PM,False,False
36,ENCORFM,2,Joey and Ella,1:36 PM,3:06 PM,False,False
37,ENCORSS,1,Leprechaun: Origins,11:43 AM,1:15 PM,False,False
37,ENCORSS,2,The Woman in Green,1:15 PM,2:24 PM,False,False
37,ENCORSS,3,Transit,2:24 PM,3:53 PM,False,False
38,ENCRACT,1,The Grudge 2,12:08 PM,1:51 PM,False,False
38,ENCRACT,2,The Day,1:51 PM,3:16 PM,False,False
39,ENCRBL,1,Malcolm X,9:39 AM,1:01 PM,False,False
39,ENCRBL,2,The Hunting Party,1:01 PM,2:43 PM,False,False
40,ENCRCL,1,Macbeth,12:04 PM,1:58 PM,False,False
40,ENCRCL,2,Big Eyes,1:58 PM,3:45 PM,False,False
41,ENCRWST,1,Billy the Kid,12:00 PM,1:21 PM,False,False
41,ENCRWST,2,Shotgun,1:21 PM,2:42 PM,False,False
42,MGM+,1,Changing Lanes,11:25 AM,1:05 PM,False,False
42,MGM+,2,The Westies,1:05 PM,1:55 PM,False,False
42,MGM+,3,A House on the Bayou,1:55 PM,3:25 PM,False,False
43,MGM+DRV,1,Seabiscuit,11:00 AM,1:25 PM,False,False
43,MGM+DRV,2,The Legend of Bagger Vance,1:25 PM,3:35 PM,False,False
44,MGM+HIT,1,Boo! A Madea Halloween,12:20 PM,2:05 PM,False,False
44,MGM+HIT,2,"LaRoy, Texas",2:05 PM,4:00 PM,False,False
45,MGM+MAR,1,Cujo,11:50 AM,1:25 PM,False,False
45,MGM+MAR,2,The Keep,1:25 PM,3:05 PM,False,False
